篠原信一、声が続かず「あかん、負けた」,柔道家でタレントの篠原信一(44)が10日、都内で行われた「＜明治×東京都＞きのこの山の日＆東京の山の日プレスイベント」に参加した。「...
加瀬亮が「ブランカとギター弾き」イベントに登場、予定時間を超えて熱くトーク,「ブランカとギター弾き」のトークイベントが8月9日に東京・シネスイッチ銀座で行われ、監督の長谷井宏紀、長谷井と以前から親交のある加瀬亮...
ちょぼらうにょぽみがゲーム「ららマジ」をハチャメチャに紹介,ちょぼらうにょぽみによる新連載「ららマヂ！」が、Webマンガサイト・MANGA pixivで始まった。「ららマヂ！」ビジュアル「ららマ...
スパガ・渡邉幸愛、『プレイボーイ』グラビアのオフショットを2枚同時公開。「どっちの私が好き？」,8月9日に『週刊プレイボーイ グラビアスペシャル増刊 SUMMER 2017』でセクシー＆キュートなグラビアを披露したSUPER☆Gi...
"神取忍、勉強不足で国会議員になり大バッシング - 原因は""出たとこ勝負""",女子プロレスラーの神取忍が、13日に放送されるテレビ朝日系バラエティ番組『しくじり先生 俺みたいになるな!!』(毎週日曜21:58～)...
「あにつく2017」9月10日開催 スタジオカラーの鶴巻和哉と小林浩康が基調講演,「あにつく2017」9月10日開催 スタジオカラーの鶴巻和哉と小林浩康が基調講演アニメ制作技術の総合イベント「あにつく2017」の開催...
ORESAMA、TVアニメ『魔法陣グルグル』2クールでもOP主題歌を担当,7月からテレビ東京他にて放送開始したTVアニメ『魔法陣グルグル』のOP主題歌を担当しているORESAMAが、『魔法陣グルグル』2クール...
伊勢谷友介、女性芸能人の口説き方を赤裸々告白「言えないことは何もない!」,俳優の伊勢谷友介が、あす11日に放送されるフジテレビ系バラエティ番組『ダウンタウンなう』(毎週金曜21:55～)に出演。うわさになって...
【SPYAIR】『JUST LIKE THIS 2017』2017年7月29日 at 富士急ハイランド・コニファーフォレスト,今年で3回目を迎えた富士急ハイランド・コニファーフォレストでの『JUST LIKE THIS』は、剣闘士のような屈強な男たちがフラッグ...
安藤優子、菊川怜卒業に「MC同士っていろいろ...」,安藤優子（２０１５年３月２２日撮影）　安藤優子キャスター（５８）が１０日、「とくダネ！」を９月いっぱいで卒業することを発表した女優の菊...
お笑い小籔のドラム・テクが「半分プロ」 ゲス川谷「普通に凄い」,お笑い芸人の小籔千豊さん（43）がドラム叩きをテレビ番組で披露し、そのスキルに驚嘆の声が上がっている。プロのミュージシャンもお墨付きを...
ファミコン、スーファミ、ゲームボーイ... レトロゲーム11種で遊べるテーブルが発売,いっとくは2017年8月8日、サイバーガジェットが販売する「レトロフリーク」を内蔵したテーブル筐体を、同社のオンライン販売サイト「パソ...
「アメリカン・ホラー・ストーリー：カルト」キャシー・ベイツ出演せず,忙しいのよ。 - 「アメリカン・ホラー・ストーリー：体験談」のキャシー・ベイツ - FX Network / Photofest / ...
顔出しNGの赤裸々トーク番組『ねほりんぱほりん』9・1特番で復活,"顔出しNGだから言える赤裸々人形トーク番組『夏の終わりの、ねほりんぱほりん』総合テレビで9月1日放送（C）NHK

　昨年10月から半..."
篠原信一、今後のコスプレは「ナースとか。女装系とか」,柔道家でタレント、篠原信一（４４）が１０日、東京都内で行われた明治のお菓子「きのこの山」のＰＲイベント「明治×東京都　きのこの山の日＆...
安藤優子 菊川怜の「とくダネ」卒業に「MC同士って色々ありますよ」,"安藤優子

　安藤優子キャスターが１０日、ＭＣを務めるフジテレビ「直撃ＬＩＶＥ　グッディ！」に出演。女優の菊川怜が同日、フジテレビ「と..."
イギリスで審判を務めるアトキン氏、同性愛者であることを告白,イギリスでサッカーの審判を務めるライアン・アトキン氏が同性愛者であることを告白した。イギリスメディア『スカイスポーツ』が9日付けで報じ...
「魔法少女まどか☆マギカ」メガネフレーム発売決定、ソウルジェムや衣装をモチーフにしたデザイン,アニメ「魔法少女まどか☆マギカ」に登場するヒロイン5人をモチーフにしたメガネフレームが発売決定。2017年8月19日から、執事眼鏡ey...
田口淳之介、初アルバムジャケ写で多角的に計測,"田口淳之介1st アルバムのジャケット5種公開

　歌手・田口淳之介が、1stアルバム『DIMENSIONS』（ディメンションズ、9月..."
iKON、初のドームツアーを映像化,iKONがジャパンドームツアー＜iKON JAPAN DOME TOUR 2017＞の京セラドーム大阪公演を完全収録したLIVE DV...
downyが3カ月連続自主企画「情けの庭」開催、初回ゲストはD.A.N.,downyが10月から3カ月連続で自主企画「情けの庭」を開催する。downy「情けの庭」フライヤーすべての写真を見る（全3枚）本企画は...
クリス・コーネルの家族、銅像の建立を計画,"クリス・コーネルの奥さんヴィッキーは、彼の故郷である米シアトルにクリスの銅像を建立する計画を立てているという。

◆クリス・コーネル画..."
「あやまんJAPAN」あやまん監督、“年商数千万”の女社長になっていた 驚きの実態が明らかに,【あやまんJAPAN／モデルプレス＝8月10日】女性パフォーマンス集団・あやまんJAPANのあやまん監督が、9日放送の日本テレビ系バラ...
「CDショップ大賞」1次にONE OK ROCK、乃木坂、Suchmos、岡崎体育ら11作品ノミネート,全国の各地域のCDショップ店員の投票によって大賞が決定する『第10回CDショップ大賞2018』の1次ノミネート作品が発表された。この発...
読売テレビ・諸國アナ、念願のタイガースガールズに奮闘「夢のような時間」,"諸國沙代子アナがタイガースガールズに参加 （C）読売テレビ

　読売テレビ・諸國沙代子アナウンサーが5日に開催された「阪神―ヤクルト」..."
来月公開『エイリアン』シリーズ最新作、本編に含まれない特別映像解禁！,（C）2017 Twentieth Century Fox Film Corporation. All Rights Reserved...
サンシャイン水族館、夜のホラー水族館「あやかしの人魚」開催,2017年9月28日(木)～11月5日(日)まで、サンシャイン水族館にて、ホラー水族館「あやかしの人魚」が開催される。本展はお化け屋敷...
李相日監督『第39回ぴあフィルムフェスティバル』コンペ部門の最終審査員に,昨年公開された『怒り』が国内外で大反響を呼んだ李相日監督が、『第39回ぴあフィルムフェスティバル』のコンペティション部門である“PFF...
篠原信一、コスプレオファーに興奮「イキイキする」,きのこチルドレンと「ヤッホー」のポーズを取る篠原信一（中央）（撮影・川田和博）　シドニー五輪銀メダリストの柔道家篠原信一（４４）が１０...
「ネオアトラス1469」半額に 「A列車で行こう」シリーズ発売元が期間限定で,通常5800円が2900円に　都市開発鉄道シミュレーションゲーム「A列車で行こう」シリーズで知られるアートディンクは、新世界発見シミュ...
野沢直子&小川菜摘 “不仲説”あった2人が久々にお互いのブログに登場,毎年夏になると“出稼ぎ”と称して日本で芸能活動を行う米サンフランシスコ在住のお笑いタレント・野沢直子。彼女が日本に滞在する間は、所属事...
進化し続けるステージ！「DIGIMON ADVENTURE FES.2017」レポート,"「DIGIMON ADVENTURE FES.2017」の様子 

2017年7月30日(日)、「DIGIMON ADVENTURE ..."
デヴィッド・ギルモア『ライヴ・アット・ポンペイ』、追加上映が決定,デヴィッド・ギルモアの最新コンサートフィルム『ライヴ・アット・ポンペイ』が、9月29日（金）に名古屋・札幌・福岡の3都市の映画館で上映...
菊川怜、「とくダネ！」卒業 「小倉さんは辞めないの？」,女優の菊川怜さん（39）が2017年9月いっぱいで、司会をつとめる番組「情報プレゼンター　とくダネ！」（フジテレビ系）を卒業する。8月...
「モン娘」ラクネラ等身大メガネ拭きなど、COMICリュウの夏コミ限定グッズ,月刊COMICリュウ（徳間書店）が、東京ビッグサイトで8月11日から13日にかけて開催されるコミックマーケット92に出展。「コミックリ...
V6三宅健「剛がいないならデビューしたくない」と直談判した過去激白 森田剛との“剛健”コンビの伝説も明らかに,【三宅健／モデルプレス＝8月10日】V6の坂本昌行と三宅健が、9日放送のフジテレビ系トーク番組「TOKIOカケル」（毎週水曜よる11時...
「マイナス金利について教えて」 日銀が子供向け特別見学会,日銀は１０日、夏休み恒例の子供向け特別見学会を開き、参加した約５０人の親子連れが日銀の仕事や紙幣について学んだ。見学会の最後には黒田東...
基本プレイ無料のPS4向けARPG『ハッピーダンジョン』2017年9月7日配信決定！,基本プレイ無料のPS4向けARPG『ハッピーダンジョン』2017年9月7日配信決定！もっと画像を見るトイロジックは、PlayStati...
氣志團・綾小路翔とGLAY・TAKUROがタクシーに無視された!?黒木啓司『BPM』8・12放送,無料インターネットテレビ局・AbemaTV（アベマティーヴィー）の「AbemaSPECIALチャンネル」で、8月12日（土）に『BPM...
『Project Awakening』発売日や開発チームは？現時点の情報まとめ,『Project Awakening』発売日や開発チームは？現時点の情報まとめCygamesNEXT2016にて発表された、Cygam...
今秋開業の“TOHOシネマズ 上野”が“BORUTO-ボルト- NARUTO NEXT GENERATIONS”とコラボレーション,"発表されたコラボイラスト (C)岸本斉史  スコット/集英社・テレビ東京・ぴえろ

TOHOシネマズ株式会社は2017年秋、松坂屋上野..."
藤巻亮太、新アルバム収録内容を解禁。初回盤ボーナストラックは“3月9日”セルフカバー,藤巻亮太が、9月20日(水)発売のアルバム『北極星』の収録曲とジャケット写真を公開した。同アルバムには小林武史と久々にタッグを組んだ“...
